y,ti,fx,eps,x1,x2,x3,x4,id,train
1.782404023,6,0.765533577,1.016870446,-1.107761466,-1.430097103,-2.52641926,-0.261540923,1,train
-0.130531787,3,-0.911962314,0.781430528,-0.820079368,-0.430141547,-1.261262489,-0.150029037,2,train
-2.661745843,8,-1.0741127,-1.587633143,-0.08444446,-0.67497314,-0.497594576,-0.227586201,3,train
-0.259632793,6,-0.810735935,0.551103142,-1.130818659,-0.285618628,0.146925811,1.769306842,4,train
-1.091473174,3,-1.266866406,0.175393232,-0.468684131,1.079713406,-1.256763123,-1.538617932,5,train
0.995269289,1,-0.093953253,1.089222541,0.190533329,0.410948516,-0.928804214,-0.532465352,6,train
0.544959572,8,-0.627528289,1.172487861,-0.843345634,-1.495659274,0.238641724,0.809767784,7,train
-0.681339644,1,-1.471848702,0.790509057,1.151094967,0.367481456,0.658317557,0.095462696,8,train
-2.457767075,2,-0.870923425,-1.58684365,-0.563126336,-0.042423726,1.149394004,-0.666757585,9,train
0.472235121,1,-0.611627157,1.083862278,-0.494247878,-0.463125324,-0.689738317,0.055181343,10,train
1.150605034,2,0.660055077,0.490549957,-0.144859028,-0.685040774,1.621968854,1.22573774,11,train
-1.910377977,6,0.118265033,-2.02864301,-1.080460111,-1.651717207,0.378311651,-0.132040644,12,train
-1.195573561,2,0.151873883,-1.347447444,0.188072431,1.353829405,0.956256353,1.051138107,13,train
-1.490337444,3,-0.92195864,-0.568378803,0.463665946,1.735315349,0.105204804,-0.847140007,14,train
-1.984548817,3,-0.946855859,-1.037692958,-0.063905542,-0.022093045,-1.526535069,0.381775889,15,train
-1.059505769,6,-0.259091089,-0.80041468,-0.41615323,1.570151644,0.665863945,0.100031369,16,train
1.855541835,3,-1.03302289,2.888564725,0.410504653,-1.813797851,-0.568530494,-1.621999708,17,train
-0.508855445,7,-0.019831034,-0.48902441,0.125722056,1.912386855,-0.987166359,-0.113882095,18,train
1.445973994,6,0.806421405,0.639552589,-1.973087458,0.072932046,-2.362637729,-0.578997219,19,train
